20,Otto Alfred Wolfgang Schulze Wols,German
63,James Drake,American
79,Adrian Piper,American
82,Laurie Simmons,American
83,Christo,American
145,Jenny Holzer,American
148,Richard Long,English
155,Ian Hamilton Finlay,Scottish
175,Henry Phillipps,American
177,Paul Sheridan,American
195,Wolf Kahn,American
242,Elizabeth Lennard,American
257,William Seltzer Rice,American
261,Robert Barry,American
268,Kiki Smith,American
305,Robert Therrien,American
308,Edvard Munch,Norwegian
381,Darren Almond,English
387,Georgina Starr,British
392,Gilbert & George,British
405,Markus Raetz,Swiss
427,Joseph Kosuth,American
430,Robert Rauschenberg,American
432,Edward Ruscha,American
446,Yves Chaudouët,French
455,Jacques Villon,French
460,Bernard Kassoy,American
470,Gerhard Richter,German
485,Hannah Höch,German
520,Barbara Morgan,American
649,Lorna Simpson,American
660,Chuck Close,American
671,Richard Hamilton,British
704,John Gordon Ross,American
721,John Henry Bufford Sr.,American
734,Bruce Conner,American
761,Dr. Eric Avery,American
832,Tom Friedman,American
863,El Lissitzky,Russian
864,Ann Hamilton,American
903,Albert Oehlen,German
906,Pablo Picasso,Spanish
948,Christopher Wool,American
960,Lee Friedlander,American
968,Sam Taylor-Wood,English
974,Wolfgang Volz,German
997,Eugène Delacroix,French
998,Ralph Goings,American
999,Felix Gonzalez-Torres,American
1007,Sarony, Major & Knapp,American
1065,Sandrine Guérin,French
1130,Gerson Leiber,American
1162,Gabriel Orozco,Mexican
1188,Seneca Ray Stoddard,American
1202,Sol LeWitt,American
1253,Bill Jacobson,American
1265,Fairfield Porter,American
1362,Eva Hesse,American
1363,David Hockney,British
1388,Robert Indiana,American
1390,Andy Warhol,American
1420,Gwenn Thomas,American
1440,George Wesley Bellows,American
1467,Grace Hartigan,American
1475,Richard Estes,American
1476,John Clem Clarke,American
1654,Wilson Flagg,American
1655,Smedley & White,American
1658,Herbert George Ponting,English
1659,Robert ParkeHarrison,American
1661,John Benton-Harris,American
1662,Sanford A. Taylor,American
1663,Napoleon Sarony,American
1664,Aimé Dupont,American
1665,Sir William Stirling-Maxwell,British
1666,Benjamin Joseph Falk,American
1667,Gloria Hoffman,American
1668,Roy Hyrkin,American
1669,Berenice Abbott,American
1670,Florentin Joseph Charnaux,Swiss
1671,Underwood & Underwood,American
1672,W. R. Faribault,American
1673,William Thompson Howell,American
1674,Blessing & Co.,American
1675,William Klein,American
1676,Herman Henneberger,American
1680,Mark C. Klett,American
1681,Brainard F. Childs,American
1682,Esther Bubley,American
1683,Frank Gohlke,American
1684,Conrad Doring,German
1685,Léon & Lévy,French
1686,William Henry Jackson,American
1687,Richard Sandler,American
1688,Mark Feldstein,American
1689,Jeff Mermelstein,American
1690,Herman Goustin,American
1691,William Morrell Harmer,Canadian
1692,Lindsley Foote Hall,American
1693,Margaret Bourke-White,American
1694,Jeanette Moore,American
1695,Edith Hastings Tracy,American
1696,Ray Jerome Baker,American
1697,G. R. Lambert & Co.,German
1698,Waldemar Franz Herman Titzenthaler,German
1699,Macduff Everton,American
1700,A. G. Wehrli,Swiss
1702,Dmitri Constantin,Greek
1703,Pach Bros.,American
1704,William A. White,American
1705,Zedler & Vogel,German
1706,Mark Hood,American
1707,Abraham Bogardus,American
1708,William Notman,Canadian
1709,George Gardner Rockwood,American
1711,Giorgio Sommer,Italian
1713,United States. Army. Signal Corps,American
1714,Zoe Leonard,American
1715,Charles P. Hibbard,American
1716,Irwin B. Klein,American
1717,William Bell,American
1718,John Albok,American
1719,Timothy H. O'Sullivan,American
1720,James Thomson,American
1721,G. P. Putnam & Co.,American
1722,Constantine George Rickards,British
1724,Marcus Aurelius Root,American
1726,Richard Avedon,American
1727,Séraphin-Médéric Mieusement,French
1728,Todd Walker,American
1731,West Coast Art Co.,American
1732,X. Phot.,French
1733,Mrs. Schuyler Van Rensselaer,American
1734,Michael Spano,American
1735,Carl Mydans,American
1736,Charles Dudley Arnold,American
1737,Ernest C. Rost,American
1739,Caithness & Bambridge,English
1740,United States. Army Medical Museum,American
1742,Bunny Adler,American
1743,Eggleston Drug Co. [Laramie, WY],American
1745,Madoka Takagi,American
1746,Francis Frith,English
1747,Edward Rode,American
1748,John Thomson,Scottish
1756,Jean-Martin Charcot,French
1757,DeWitt Clinton Falls,American
1758,Marc Ferrez,Brazilian
1759,Hubert Howe Bancroft,American
1760,Fratelli Alinari,Italian
1762,Alfred Stieglitz,American
1763,David Heath,American
1764,Robert D. Good,American
1765,Jim Mason,American
1766,J. A. Keller,American
1769,Aleksandr Mikhailovich Rodchenko,Russian
1771,William Bradford,American
1773,Gilliams Service,American
1774,Geoffrey Grant,American
1776,George Washington Wilson,Scottish
1778,Red Thunder Cloud,Native American
1780,Jacob Schloss,American
1782,Lou Stoumen,American
1784,Carl Norman & Co.,English
1785,Robert V. Reid,Scottish
1786,Harald Kirschner,German
1787,William M. Vander Weyde,American
1789,G. Blain,Cuban
1790,Ernest Edwards,English
1791,Lovell Reeve,English
1792,Arvind Garg,Indian
1793,Edwin Hale Lincoln,American
1797,Ramon Corral,Cuban
1798,Sol Libsohn,American
1801,Detroit Publishing Co.,American
1802,Anne Chamberlain,American
1803,Paul Etienne Lincoln,English
1804,Bruce Cratsley,American
1807,Dennis Darling,American
1808,Lewis Koch,American
1809,Valdir Cruz,Brazilian
1810,Ann Zane Shanks,American
1811,Susan Heske,American
1812,Glasotype Photo Co.,American
1813,Baker Art Gallery,American
1815,Robert E. Wescott,American
