TermID,Term
2028040,Photographer
2028041,Itenerant Photographer
2028042,Photographic Colorist or Finisher
2028050,CDV
2028054,Manufacturer
2028057,Photographic Publisher
2028122,Dealer of Photographic Supplies
2028148,Inventor
2028160,Collector or Dealer
2028161,Distributor
2028168,Photographic Instructor
2028176,Photographic Printer
2028178,Photoengraver
2028197,Clerk
2028217,"Academic, Curator, or Historian"
2028221,Painter
2028222,Printmaker
2028223,Draftsman
2028224,Sculptor
2028225,Film or Video artist
2028235,Installation artist
