TermID,Term
2027988,national parks
2027989,Shenandoah National Park
2027996,PIC
2027997,Gender
2027998,Female
2027999,Male
2028000,Other
2028001,Unknown
2028002,Biography
2028004,PhotographyDatabase.org
2028023,Eskind
2028005,Heilbrun Timeline of Art History
2028006,Union List of Artist Names (Getty ULAN)
2028034,ULAN
2028007,George Eastman House telnet database (No longer extant)
2028031,GEH
2028008,photoLondon.org.uk
2028167,London
2028009,Craig's Daguerreian Registry
2028011,Collections
2028012,Museum of New Mexico
2028025,MoNM
2028013,Niepce Museum
2028014,Getty Museum
2028015,Museum of Contemporary Photography Chicago
2028026,MoCP Chicago
2028016,Museum of Fine Art Houston
2028017,Darrah Collection of CDVs Penn State University
2028018,Center for Creative Photography
2028027,CCP
2028019,Library of Congress
2028028,LoC
2028020,Tenement Museum
2028021,National Portrait Gallery UK
2028029,NPG UK
2028022,National Portrait Gallery US
2028030,NPG US
2028032,University of New Mexico Center for Southwest Research
2028033,UNM
2028035,Canadian Centre for Architecture
2028036,CCA
2028037,Harry Ransom Center
2028038,HRC
2028039,Role
2028040,Photographer
2028125,x
2028041,Itenerant Photographer
2028042,Photographic Colorist or Finisher
2028124,Colorist
2028198,Finisher
2028043,Format
2028045,Process
2028046,Daguerreotype
2028047,Gelatin Silver Print
2028048,Albumen Silver Print
2028049,Salted Paper Print
2028050,CDV
2028051,Cabinet Card
2028052,Stereoscopic Photograph
2028053,Ambrotype
2028054,Manufacturer
2028055,Tintype
2028056,Ferrotype
2028057,Photographic Publisher
2028058,Publisher
2028060,Other
2028061,Criminal
2028062,Allgemeines Künstlerlexikon Online / Artists of the World Online
2028063,AKO
2028064,Encyclopedia of Nineteenth-Century Photography
2028065,Pioneer Photographers from the Mississippi to the Continental Divide
2028066,US Census- 1840
2028076,1840
2028067,US Census- 1850
2028077,1850
2028068,US Census- 1860
2028078,1860
2028069,US Census- 1870
2028079,1870
2028070,US Census- 1880
2028080,1880
2028071,US Census- 1900
2028081,1900
2028072,US Census- 1910
2028082,1910
2028073,US Census- 1920
2028083,1920
2028074,US Census- 1930
2028084,1930
2028075,US Census- 1940
2028085,1940
2028086,Directory of Civil War Photographers
2028087,Kelbaugh
2028088,City or Business Directory
2028092,cd
2028089,State Census- 1915
2028090,1915
2028091,Autochrome
2028093,US MIlitary Records
2028094,Wikipedia
2028095,State Census- 1885
2028096,1885
2028097,State Census- 1875
2028098,1875
2028099,Lantern Slides
2028100,MnHS Directory of Minnesota Photographers
2028101,MNHS
2028102,PAA Directory 1944-1945
2028103,PAA
2028104,Death Records
2028105,SSDI
2028106,Photographers of the Pacific Northwest database
2028107,PPNW
2028108,State Census- 1905
2028109,1905
2028110,State Census- 1925
2028111,1925
2028112,"Family of Man Museum, Clervaux Castle, Luxembourg"
2028113,State Census- 1895
2028114,1895
2028115,Canadian Census- 1861
2028116,1861
2028117,Canadian Census- 1901
2028118,1901
2028119,Canadian Census- 1871
2028120,1871
2028121,PAA Directory 1948-1949
2028122,Dealer of Photographic Supplies
2028123,Importer of Photographic Supplies
2028126,Baltimore Daguerreans
2028129,Products
2028130,Photographic Cases
2028136,Cases
2028131,Photographic Mounts
2028138,Mounts
2028139,Cards
2028132,Cameras
2028133,Lenses
2028134,Photographic Paper
2028140,Paper
2028135,Photographic Chemicals
2028137,Chemicals
2028141,Photographic Plates
2028143,Photographic Supplies (General)
2028144,General
2028145,Chromogenic Print
2028146,Dye Diffusion Transfer Print
2028147,Polaroid
2028148,Inventor
2028149,State Census- 1855
2028154,1855
2028150,State Census- 1935
2028151,1935
2028152,State Census- 1865
2028153,1865
2028155,Calotype
2028156,Talbotype
2028157,NYPL Clipping File
2028158,Clipping File
2028159,Panoramic Photographs
2028160,Collector or Dealer
2028161,Distributor
2028162,Woodburytype
2028163,Catalogue of Copyright Entries
2028164,Photolithograph
2028165,"NYPL, PHG"
2028166,Cyanotype
2028168,Photographic Instructor
2028169,Instructor
2028170,Photographic Film
2028171,Film
2028172,Carbon Print
2028173,"NYPL, SPN"
2028174,Spencer Collection
2028175,SPN
2028176,Photographic Printer
2028177,Printer
2028178,Photoengraver
2028179,Platinum Print
2028180,Royal Commonwealth Society Index
2028181,RCS
2028182,Cambridge University: RCS Collection
2028183,RCS
2028184,Darrah: Cartes de Visite
2028185,CDV
2028186,Canadian Cencus- 1881
2028187,1881
2028188,Photographic Postcards
2028189,Postcards
2028190,State Census - 1892
2028191,1892
2028193,Pioneer Photographers of the Far West
2028194,PPFW
2028195,FW
2028197,Clerk
2028199,Canadian Census- 1891
2028200,Canadian Census- 1911
2028203,1911
2028201,Canadian Census- 1921
2028202,Canadian Census- 1921
2028204,Metropolitan Museum of Art
2028206,Lithographer
2028209,Cliché verre
2028210,Engraver
2028213,English Census- 1911
2028214,1911
2028215,English Census- 1881
2028216,1881
2028217,"Academic, Curator, or Historian"
2028218,Suicide
2028219,Museum of Modern Art
2028220,MoMA
2028221,Painter
2028222,Printmaker
2028223,Draftsman
2028224,Sculptor
2028225,Film or Video artist
2028226,Filmmaker
2028227,Video artist
2028228,Print Council of America's Index to Print Catalogues Raisonné
2028229,PCA
2028234,Photogravure
2028235,Installation artist
